country,surface_area,population,population_density,gdp_gross_domestic_product,gdp_growth_rate,gdp_per_capita,trade_export,trade_import,co2_emission_estimates,energy_production_primary,capacity_mw,capacity_factor,generation,generation_biomass,generation_coal,generation_gas,generation_geothermal,generation_hydro,generation_nuclear,generation_oil,generation_solar,generation_waste,generation_wind,emission_per_capita,economy_agriculture,economy_industry,economy_services_and_other
estonia,45227.0,1310000,30.9,22460,1.4,17112.0,13952.0,15759.0,242,53611111.11111111,2541.9,5.2017680632701255,9180.139000000001,0.0,0.0,0.006225395933547411,0.0,0.0,0.0,0.9079356714170305,0.0,0.0,0.08583893264942212,0.0001847328244274809,0,0,1
ethiopia,1104300.0,104957000,105.0,59917,9.6,602.8,1724.0,19121.0,1308,4166666.6666666665,4023.9,5.124174746796497,14224.972,0.0,0.0,0.0,0.0,0.9653869265964108,0.0,0.0,0.0,0.0,0.03461307340358913,1.2462246443781738e-05,0,0,1
fiji,18272.0,906000,49.6,4391,3.6,4921.9,926.0,2316.0,8,7222222.222222222,317.38,1.3413501448603764,560.6039999999999,0.0,0.0,0.0,0.0,0.9574030866708051,0.0,0.0,0.0,0.0,0.04259691332919494,8.830022075055188e-06,0,0,1
finland,338440.0,5523000,18.2,231960,0.2,42148.1,57326.0,60502.0,757,71388888.88888888,11796.76,57.636900783004634,40457.05596666667,0.0006206704714423366,0.11098039372166248,0.06925244393236163,0.0,0.24998251994244838,0.5423186423832707,0.0017369776005920759,0.0,0.0,0.004440510949388335,0.00013706319029512947,0,0,1
france,551500.0,64980000,118.7,2418946,1.3,36304.2,488885.0,560555.0,5694,43888888.88888889,110615.9289,476.24241965940723,500014.5393333333,0.0,0.021251372038436283,0.03733767060365574,0.0,0.10226399429939777,0.7846962594123713,0.0049258877617517375,0.01638581952221605,0.0,0.033138996362171116,8.76269621421976e-05,0,0,1
gabon,267668.0,2025000,7.9,13735,3.9,7960.7,2851.0,2930.0,559,17777777.777777776,446.81,1.2435482607248503,949.278,0.0,0.0,0.0,0.0,0.9815544023984544,0.0,0.018445597601545596,0.0,0.0,0.0,0.0002760493827160494,0,1,0
georgia,69700.0,3912000,56.3,13965,2.8,3491.4,2114.0,7236.0,61,13055555.555555556,3831.4,7.034153841358627,12210.292,0.0,0.0,0.40346700963416765,0.0,0.5965329903658324,0.0,0.0,0.0,0.0,0.0,1.5593047034764827e-05,0,0,1
germany,357376.0,82114000,235.6,3363600,1.7,41686.2,1340752.0,1060672.0,5004,43888888.88888889,112040.37488,332.3761876667771,450546.5209333333,0.004206145008231924,0.5290223434409818,0.15686455534105503,0.0,0.056491013507939315,0.17091552759926362,0.012943256827847568,0.021878499870734917,0.007419766538369633,0.034704681847893604,6.093966924032443e-05,0,0,1
ghana,238537.0,28834000,126.7,37156,3.9,1355.6,7221.0,11939.0,410,3888888.888888889,2108.0,2.775371727409498,8368.226,0.0,0.0,0.34112606423392483,0.0,0.6544498200693911,0.0,0.0,0.0044241156966841,0.0,0.0,1.4219324408684192e-05,0,0,1
greece,131957.0,11160000,86.6,194860,-0.2,17788.0,27811.0,47595.0,368,24722222.22222222,14658.65,21.777459248989086,39272.725666666665,0.0,0.45908682664475453,0.3591271913840595,0.0,0.13202969521417737,0.0,0.026012964026764732,0.010522213393269529,0.0,0.01322110933697438,3.297491039426523e-05,0,0,1
